movie_id,title,release_year,runtime,budget,revenue,popularity,vote_average,vote_count,original_language,director_id
249882,"Gospa, The Miracle of Medjugorje",1995,125,,,1.219,4.1,8,hr,1285121
16388,Братья МакМаллен,1995,98,25000,19326506,2.875,6.026,98,en,12833
9737,Плохие парни,1995,119,19000000,141407024,5.2585,6.826,6719,en,865
30765,Удивительное приключение панды,1995,84,,7506759,1.8174,5.6,93,en,56828
10474,Дневник баскетболиста,1995,102,2000000,2381087,5.1955,7.4,2115,en,65390
22279,Ужасно большое приключение,1995,113,4000000,851545,1.216,6.541,68,en,10723
30157,Дилетанты,1994,105,,,0.7183,6.2,100,en,91343
568,Аполлон 13,1995,140,52000000,355237933,3.5228,7.5,5687,en,6159
11780,Роб Рой,1995,139,28000000,31600000,1.2647,6.702,682,en,30365
34996,Зависимость,1995,82,,302393,2.4726,6.5,302,en,39104
414,Бэтмен навсегда,1995,121,100000000,336529144,4.182,5.448,5420,en,5572
649,Дневная красавица,1967,101,,,2.3764,7.324,976,fr,793
1873,За пределами Рангуна,1995,100,23000000,14700000,2.4164,6.6,83,en,19665
5894,С унынием в лице,1995,83,2000000,1300000,1.1194,6.5,176,en,39819
1775,Канадский бекон,1995,91,11000000,178104,2.3732,5.7,235,en,17087
20649,Толкачи,1995,128,25000000,13100000,2.1537,6.688,340,en,5281
10329,Конго,1995,109,50000000,152022101,2.0609,5.6,940,en,664
8963,Багровый прилив,1995,123,53000000,157387195,1.9829,7.2,1903,en,893
26564,Крамб,1994,119,,3041083,2.5911,7.5,269,en,17447
8068,Отчаянный,1995,104,7000000,25405445,3.612,6.922,3022,en,2294
8512,Дьявол в голубом платье,1995,102,27000000,16140822,1.6222,6.5,437,en,21712
1572,Крепкий орешек 3: Возмездие,1995,131,90000000,366101666,6.8813,7.274,6426,en,1090
13552,Поколение игры «Doom»,1995,83,800000,284785,1.7527,6.5,295,en,19224
259209,Feast of July,1995,116,,,1.1925,5.545,11,en,68774
6520,Первый рыцарь,1995,134,55000000,127600435,3.6239,6.1,1291,en,3415
9073,Освободите Вилли 2: Новое приключение,1995,95,31000000,30077111,1.9483,5.926,605,en,56998
10428,Хакеры,1995,105,20000000,7563728,4.4907,6.386,1396,en,1978
17447,Jeffrey,1995,92,,3487767,1.7757,6.201,67,en,252806
9886,Джонни Мнемоник,1995,98,25000000,19075720,3.0185,5.76,1456,en,59997
9482,Судья Дредд,1995,95,90000000,113493481,3.5219,5.847,2618,en,33279
19326,Присяжный,1995,88,,17014653,2.1458,4.3,126,en,58316
9344,Детки,1995,91,1500000,20412216,3.8619,6.898,1222,en,51917
9071,Жизнь в забвении,1995,90,500000,1148752,1.5107,7.2,306,en,6400
8973,Повелитель иллюзий,1995,121,,13294594,1.4527,5.952,363,en,31211
15730,Love & Human Remains,1994,100,,,0.8414,5.7,45,en,38516
47608,Дикая любовь,1995,93,,15453274,2.2141,5.2,119,en,42617
2293,Тусовщики из супермаркета,1995,94,6000000,2122561,2.4924,6.8,1319,en,19303
9070,Могучие Морфы: Рейнджеры силы,1995,95,15000000,66433194,2.1736,5.861,740,en,42111
68274,Moonlight and Valentino,1995,100,,2484226,0.9524,5.5,79,en,44847
48787,Немой свидетель,1995,95,,,2.4227,6.4,150,en,58384
34574,Надя,1995,93,,,3.2007,5.5,54,en,54469
1642,Сеть,1995,114,22000000,110627965,3.4214,6.034,1449,en,11472
11472,Девять месяцев,1995,103,35000000,138500000,2.6868,5.707,683,en,10965
36196,Тусовщица,1995,94,150000,472370,1.7639,6.378,86,en,56714
11980,Пророчество,1995,98,8000000,16115878,2.7467,6.5,539,en,28902
58372,Безрассудная,1995,91,,,2.1552,6.4,7,en,26487
32646,Спасение,1995,119,1000000,512558,2.0971,6.949,325,en,16863
10533,Алая буква,1995,135,50000000,10382407,1.5296,6.1,501,en,8965
56088,The Show,1995,93,,2702578,2.9536,6.4,10,en,53177
10802,Шоу-гёлз,1995,131,45000000,20367472,5.9707,5.579,1323,en,10491
10149,Дым,1995,112,7000000,8349430,0.6655,7.2,511,en,39819
18402,Тема для разговора,1995,106,30000000,77300000,1.5651,5.632,247,en,5306
9348,Особь,1995,108,35000000,113400000,3.4881,5.973,1761,en,21370
139408,Счастливые звезды над Генриеттой,1995,109,,,1.0518,6.1,17,en,408
281,Странные дни,1995,145,42000000,7959291,1.51,7.0,1462,en,14392
5967,Шербурские зонтики,1964,92,200000,7600000,3.6756,7.391,851,fr,24882
79593,Неразрывная связь,1995,99,14000000,5830454,0.9521,4.8,26,en,17880
47939,Три желания,1995,115,10000000,7027000,1.4799,6.2,82,en,63713
36834,Полное затмение,1995,111,,339889,3.0363,6.4,542,en,1128
9090,"Вонг Фу, с благодарностью за всё! Джули Ньюмар",1995,109,,47774193,7.7165,7.373,727,en,20237
3512,В осаде 2: Темная территория,1995,100,60000000,104324083,2.7386,5.845,974,en,32277
52856,Сумасшедшие герои,1995,93,,,2.48,5.9,29,en,3092
77350,Unzipped,1995,73,,,1.1304,5.2,18,en,588623
9560,Прогулка в облаках,1995,103,20000000,50012507,3.599,7.359,1090,en,22767
9804,Водный мир,1995,134,175000000,264218220,4.9804,6.229,3906,en,8300
31611,Участь белого человека,1995,85,7000000,9000000,1.221,5.144,84,en,73494
65796,Дикий Билл,1995,98,30000000,2193982,3.2287,5.7,165,en,1723
49805,Версия Браунинга,1994,97,,487391,1.4133,6.439,57,en,6111
26258,Измученные походом,1995,90,,7919823,2.0631,5.3,126,en,17309
50797,Утомлённые солнцем,1994,151,2800000,2616503,1.5531,6.987,193,ru,82796
19155,Перед дождем,1994,113,,763847,1.5132,7.302,174,mk,1364800
76,Перед рассветом,1995,101,2500000,5987386,5.1959,7.972,4490,en,564
11017,Билли Мэдисон,1995,89,10000000,26488734,3.6283,6.2,1733,en,57691
37141,Приходящая няня,1995,90,,,2.6942,5.188,176,en,43468
9382,Парни побоку,1995,115,21000000,23450000,2.0055,6.373,245,en,18378
6715,Лекарство,1995,97,,2568235,3.5335,7.9,336,en,44990
