movie_id,genre_id
14587,18
31504,35
31504,10751
41653,18
53185,10770
53185,18
53185,10749
53185,35
95743,18
95743,10749
23637,35
17600,35
17600,18
10897,10749
10897,35
10897,10751
349394,35
21352,10751
21352,12
21352,35
68806,53
68806,80
68806,18
37345,35
37345,18
37345,36
37345,9648
32562,99
32562,36
47507,35
47507,10749
25403,35
25403,18
124304,10749
124304,18
9066,10751
9066,35
9066,10749
771,35
771,10751
251,14
251,18
251,53
251,9648
251,10749
812,16
812,10751
812,12
812,14
812,10749
280,28
280,53
280,878
581,12
581,18
581,37
80350,53
80350,28
80350,18
268,14
268,28
268,80
274,80
274,53
274,18
408,14
408,16
408,10751
10020,10749
10020,10751
10020,16
10020,14
10895,16
10895,10751
10895,14
114,10749
114,35
41043,35
41043,18
41043,14
576,37
15477,80
15477,53
59146,18
59146,10749
124472,99
124472,10402
124472,36
30528,35
30528,10749
7300,10749
7300,35
10824,27
10824,53
261246,10749
261246,18
275,80
275,18
275,53
25059,12
25059,35
25059,18
25059,10751
11827,16
11827,878
11827,12
11827,14
11827,10402
8766,27
8766,878
8766,53
23570,35
23570,10749
47333,18
47333,10749
54850,18
54850,9648
54850,53
51242,35
51242,18
10112,16
10112,35
10112,10751
10112,12
4307,18
4307,10749
46029,35
46029,10749
32308,35
32308,10751
88893,12
88893,18
52873,18
123505,35
123505,18
123505,10749
44281,35
44281,18
28121,35
28121,53
28121,80
28121,10749
12520,35
12520,53
12520,80
12520,18
1592,80
1592,18
1592,9648
1592,53
166901,18
166901,80
36447,18
36447,10749
19042,10749
19042,16
19042,10751
19042,12
19042,14
38884,10752
38884,18
38884,36
47449,35
36259,14
36259,878
36259,10751
36259,35
41852,35
41852,18
40926,18
40926,53
40926,80
40926,27
9099,35
2021,35
2021,18
2021,10749
61752,35
61752,18
10988,9648
10988,53
10988,27
11479,12
11479,18
11479,10751
11479,35
398959,10749
398959,18
287305,35
339428,35
12652,18
12652,10749
10684,18
10684,53
10684,9648
10684,10752
954,12
954,28
954,53
68445,18
68445,35
18989,18
18989,10749
10801,35
54285,27
54285,9648
54285,53
8840,14
8840,28
8840,12
8840,18
278978,18
124625,18
124625,36
11107,28
11107,35
16417,35
70934,10402
10363,80
10363,18
10363,53
161070,10749
161070,35
161070,18
10539,12
10539,16
10539,10751
10539,14
10543,53
18414,35
47502,35
47502,80
47502,18
11902,35
11902,18
11902,10752
27098,18
27098,10749
27098,10752
25087,28
25087,53
5801,18
5801,36
896,18
3065,35
3065,878
318177,18
2300,35
2300,16
2300,10751
2300,878
8069,878
8069,12
8069,35
8069,14
8069,28
288173,53
288173,28
288173,18
187851,35
187851,27
187851,878
27768,18
27768,53
221917,18
221917,10749
8072,18
8072,878
8072,9648
35797,35
35797,80
35797,18
88030,99
185191,99
83857,27
83857,18
83857,53
33245,18
124460,18
124460,10749
27281,28
27281,12
27281,35
27281,10751
105045,18
105045,10749
40001,10749
40001,18
29621,28
29621,12
29621,878
29621,53
117730,18
20762,28
20762,80
20762,18
20762,53
37144,80
37144,9648
37144,53
48260,80
48260,18
48260,10749
48260,53
12656,35
12656,18
12656,53
12656,80
12656,10749
38867,18
38867,10749
277270,10749
277270,35
25969,35
25969,18
25969,10751
25969,10749
44103,18
44103,36
753,18
43634,10749
43634,18
43634,9648
9103,28
9103,12
9103,18
90214,35
90214,18
90214,10402
90214,10749
29649,18
10990,18
10990,9648
10990,53
10990,80
8866,35
8866,10749
12233,16
12233,35
12233,10751
23449,35
36355,12
36355,10751
37667,18
37667,53
37667,9648
37667,10749
90148,18
922,18
922,14
922,37
11876,12
11876,10749
11876,36
11876,18
52633,28
52633,80
52633,18
62364,35
11687,14
11687,35
9304,35
9304,14
9304,878
9304,10749
503475,10751
503475,16
503475,35
73183,99
123067,18
123067,10770
9100,27
9100,18
9100,14
20759,35
46063,18
46063,80
365371,99
32513,35
32513,10749
40651,18
36915,18
36915,9648
36915,53
40507,28
40507,18
40507,80
40507,53
9802,28
9802,12
9802,53
25697,35
21588,35
21588,27
664,28
664,12
664,18
11867,878
11867,28
11867,12
47119,18
314352,35
9323,28
9323,16
9323,878
10280,14
10280,27
10535,35
10535,28
124613,35
124613,18
532,10751
532,16
532,35
26744,80
26744,18
16299,35
16299,10751
10547,878
10547,53
10547,27
245268,28
245268,35
245268,18
245268,10752
935,35
935,10752
55613,35
55613,18
55613,14
215107,35
215107,99
41007,35
41007,18
41007,10749
35645,18
35645,12
35645,10751
35645,9648
110465,12
110465,18
110465,10751
255546,99
40751,18
40751,28
85778,99
11101,18
11101,36
11101,10752
9826,12
9826,28
9879,35
9879,80
9879,18
63564,18
63564,35
22621,18
22621,10749
7095,35
7095,10751
7095,18
26890,18
46732,35
46732,18
46732,10751
124633,18
581579,99
202425,10402
202425,10749
196940,35
77771,18
77771,10749
181083,18
41225,27
41225,9648
41225,18
188589,10749
188589,35
188589,18
87190,37
87190,18
87190,10752
87190,36
627,18
627,80
32872,35
32872,10749
602,28
602,12
602,878
14553,18
14553,10749
9566,53
9566,28
9566,18
10545,18
10545,16
10545,10751
9894,35
9894,18
9894,53
11543,35
9268,28
9268,9648
9268,53
52059,99
9327,14
9327,35
9327,10749
9327,878
123763,18
123763,10749
123763,36
81949,18
81949,10749
81949,10752
42005,14
124306,18
183955,18
183955,80
44535,35
44535,18
44495,18
44495,10749
78285,35
78285,80
78285,18
11228,28
11228,12
11228,53
10779,27
10779,35
26748,18
26748,9648
26748,10749
38223,35
38223,18
38223,10751
9294,18
9294,10749
9294,878
9294,14
49963,35
49963,18
49963,10749
11363,10749
11363,35
1645,80
1645,18
1645,53
31546,18
31546,80
77056,10749
77056,35
77056,18
36344,10751
36344,18
36344,12
18550,28
11511,14
11511,35
11511,10751
172198,18
172198,14
34170,35
34170,10751
281085,80
281085,18
281085,10749
109478,28
109478,9648
109478,53
124645,10752
124645,18
12606,10751
12606,35
69895,35
35206,18
35206,12
525936,53
525936,10749
525936,9648
151489,10752
151489,18
4837,18
4837,10749
12632,18
9098,35
282919,18
124614,9648
124614,18
18975,10751
18975,14
18975,12
18975,18
11962,35
11962,14
2925,35
28628,10749
28628,18
28628,35
28628,36
3595,28
3595,53
9308,35
9308,80
9308,10749
92381,35
92381,18
18555,28
18555,18
18555,53
12123,53
12123,28
12123,878
10830,35
10830,10751
10830,14
3573,10749
3573,35
3573,18
10546,28
10546,14
10546,53
18862,35
18862,10751
31417,18
31417,27
31417,53
9431,27
9431,35
124619,18
297645,18
297645,10749
48144,9648
48144,80
48144,18
46986,18
46986,10749
144982,18
47907,35
47907,18
10061,28
10061,12
10061,878
