movie_id,person_id,role
13815,2987,Original Music Composer
5503,1213,Original Music Composer
35588,6918,Original Music Composer
2087,4140,Original Music Composer
41579,63964,Original Music Composer
18620,2889150,Original Music Composer
18620,2889151,Original Music Composer
41006,8933,Original Music Composer
4916,117,Original Music Composer
2019,5912,Original Music Composer
2019,28241,Original Music Composer
31642,1157806,Original Music Composer
9255,7728,Original Music Composer
26271,1181479,Original Music Composer
10612,21276,Original Music Composer
2259,947,Original Music Composer
16097,1692281,Original Music Composer
11934,1225,Original Music Composer
106143,947,Original Music Composer
12475,43393,Original Music Composer
9386,1259,Original Music Composer
7984,7020,Original Music Composer
7984,62642,Songs
7984,33684,Songs
7984,62641,Songs
59930,5287,Original Music Composer
15765,9769,Original Music Composer
31643,72861,Original Music Composer
6,37,Original Music Composer
329,491,Original Music Composer
10909,1225,Original Music Composer
34024,8377,Original Music Composer
29918,7728,Original Music Composer
9593,7714,Original Music Composer
42580,15813,Original Music Composer
22317,76200,Music
1413,117,Original Music Composer
1413,11389,Songs
12121,4140,Original Music Composer
2246,1760,Original Music Composer
10502,1729,Original Music Composer
10440,71473,Music
10440,69394,Music
9516,57778,Original Music Composer
2320,1760,Original Music Composer
5879,2230329,Original Music Composer
83718,119232,Original Music Composer
11971,9152,Original Music Composer
2625,2704,Original Music Composer
31911,32398,Original Music Composer
788,117,Original Music Composer
21450,68047,Original Music Composer
11231,10494,Original Music Composer
41588,5666,Music
10447,5912,Original Music Composer
31586,9251,Original Music Composer
9300,57206,Original Music Composer
9300,57468,Original Music Composer
9559,195,Original Music Composer
9559,64025,Songs
9800,117,Original Music Composer
713,10759,Original Music Composer
8291,54421,Original Music Composer
8291,9769,Original Music Composer
8291,54604,Original Music Composer
8291,54605,Original Music Composer
18133,35838,Original Music Composer
25557,35079,Original Music Composer
22588,49285,Original Music Composer
10872,57124,Original Music Composer
1245,54449,Original Music Composer
1245,1605893,Music
11858,947,Original Music Composer
7007,51808,Original Music Composer
10467,3562,Original Music Composer
5550,7728,Original Music Composer
8005,53839,Original Music Composer
2088,4140,Original Music Composer
10412,65029,Original Music Composer
47889,1030290,Original Music Composer
14534,1760,Original Music Composer
56583,1213,Original Music Composer
41878,23300,Original Music Composer
41878,127283,Original Music Composer
424,491,Original Music Composer
35233,10494,Original Music Composer
14291,1729,Original Music Composer
103413,7741,Original Music Composer
11236,1135,Original Music Composer
11592,7728,Original Music Composer
8850,1760,Original Music Composer
10445,1528,Original Music Composer
695,4140,Original Music Composer
43535,2120,Original Music Composer
12519,3562,Original Music Composer
23210,1760,Original Music Composer
858,9251,Original Music Composer
867,117,Original Music Composer
78,595,Original Music Composer
13203,21068,Original Music Composer
10442,20897,Original Music Composer
11074,2722,Original Music Composer
9607,37,Original Music Composer
17585,2987,Original Music Composer
9057,49285,Original Music Composer
10635,153,Original Music Composer
9479,531,Original Music Composer
9479,531,Songs
10057,7714,Original Music Composer
10057,56683,Songs
11969,20897,Original Music Composer
41590,5287,Original Music Composer
319,947,Original Music Composer
15139,1729,Original Music Composer
161158,939704,Original Music Composer
218473,72635,Original Music Composer
85247,983104,Music
85247,983104,Original Music Composer
11446,69486,Original Music Composer
51980,3139702,Original Music Composer
24405,20309,Music
24405,215516,Music
11655,70369,Original Music Composer
11800,5628,Original Music Composer
14587,32347,Original Music Composer
14587,6229,Original Music Composer
31504,9769,Original Music Composer
41653,3862,Original Music Composer
53185,35079,Music
95743,37187,Original Music Composer
23637,2728388,Original Music Composer
17600,5340,Original Music Composer
10897,11166,Original Music Composer
349394,1169578,Original Music Composer
21352,76200,Original Music Composer
68806,1259,Original Music Composer
37345,39023,Original Music Composer
32562,1225,Original Music Composer
47507,4885501,Original Music Composer
25403,9245,Original Music Composer
124304,9245,Music
9066,56889,Music
9066,4002946,Music
771,491,Original Music Composer
251,2704,Original Music Composer
812,15813,Original Music Composer
812,15813,Songs
812,62049,Songs
280,2722,Original Music Composer
581,2289,Original Music Composer
