movie_id,keyword_id
9737,219404
9737,222863
9737,240379
9737,278876
9737,325775
30765,478
30765,8531
30765,8723
30765,18165
10474,242
10474,6075
10474,2671
10474,6782
10474,6496
10474,9713
10474,14641
10474,14964
10474,208992
10474,212563
10474,258533
10474,296608
22279,818
22279,392
22279,6344
22279,206032
22279,207883
30157,325776
568,10084
568,1196
568,4776
568,305
568,1432
568,2345
568,9672
568,9609
568,10349
568,9882
568,10617
568,14601
568,14626
568,193479
568,226233
568,226235
568,226236
11780,388
11780,2803
11780,5565
11780,160279
11780,208070
11780,220446
11780,234722
11780,303310
11780,325824
34996,242
34996,3133
34996,490
34996,6782
414,483
414,9715
414,3289
414,3259
414,9717
414,9104
414,10486
414,10525
414,11268
414,15009
414,33518
414,33626
414,33637
414,33981
414,34156
414,157166
414,157583
414,170383
414,170652
414,269233
649,596
649,549
649,931
649,1566
649,1157
649,851
649,848
649,2039
649,1411
649,2316
649,3260
649,186107
1873,5499
1873,5855
1873,13005
5894,919
5894,1901
5894,3170
5894,6357
1775,833
1775,169086
1775,222998
1775,276081
20649,11505
20649,13008
20649,14964
20649,18026
20649,41523
20649,161722
20649,237764
10329,818
10329,1384
10329,690
10329,2521
10329,3379
10329,10148
10329,10349
10329,179300
10329,237523
8963,1860
8963,339
8963,2534
8963,4123
8963,3312
8963,4933
8963,4410
8963,13015
8963,162365
8963,198423
8963,217133
8963,221092
8963,226740
8963,226741
8963,226742
8963,227612
8963,301096
8963,314730
8963,325785
26564,1353
26564,582
26564,2699
26564,2679
26564,5801
26564,5565
26564,12192
26564,13151
26564,14893
26564,155762
26564,192051
26564,262325
8068,75
8068,797
8068,534
8068,502
8068,2708
8068,953
8068,139
8068,3458
8068,9748
8068,10044
8068,10950
8068,14575
8068,14601
8068,14707
8068,18026
8068,41372
8068,154889
8068,155851
8512,818
8512,1543
8512,5823
8512,9826
8512,12670
8512,15208
8512,155790
8512,156091
8512,157210
8512,202371
8512,207268
8512,207883
8512,239797
8512,316241
1572,242
1572,444
1572,1321
1572,720
1572,642
1572,6149
1572,258
1572,483
1572,703
1572,1812
1572,9663
1572,9856
1572,9748
1572,10950
1572,14601
1572,156022
1572,158022
1572,166519
1572,177309
1572,188329
1572,189920
1572,192707
1572,205710
1572,219404
1572,220572
1572,226838
1572,307495
13552,6054
13552,387
13552,642
13552,2652
13552,1541
13552,1664
13552,3405
13552,9701
13552,4470
13552,9887
13552,11581
13552,13017
13552,15291
13552,155262
13552,155419
13552,155870
13552,180340
13552,200234
13552,202371
13552,239108
13552,321464
13552,325778
6520,3966
6520,10085
6520,10466
6520,10982
6520,14720
6520,177128
6520,177129
6520,184663
9073,4676
9073,2526
9073,155529
10428,242
10428,6104
10428,2157
10428,2812
10428,4563
10428,9864
10428,11615
10428,12190
10428,12361
10428,41249
10428,160840
10428,259376
10428,325809
10428,325830
10428,325831
17447,242
17447,740
17447,2698
17447,10181
17447,9766
17447,10093
17447,10855
17447,168346
17447,210608
17447,245045
17447,254375
17447,258533
9886,4563
9886,4565
9886,6135
9886,6566
9886,8662
9886,10919
9886,12190
9886,15256
9886,156866
9482,417
9482,934
9482,4565
9482,9715
9482,4458
9482,3289
9482,11038
9482,9717
9482,12190
9482,15090
9482,15095
9482,15108
9482,18712
9482,160159
9482,163081
9482,180172
9482,182703
9482,182706
9482,182711
9482,203493
9482,214715
9482,219404
9482,269233
9482,325844
19326,6593
19326,8881
19326,10639
19326,10640
9344,1525
9344,2201
9344,242
9344,726
9344,10683
9344,9766
9344,14857
9344,155419
9344,171341
9344,197314
9344,233318
9344,239797
9344,247968
9344,281237
9344,310003
9344,315053
9344,325798
9071,9732
9071,163699
9071,210608
9071,238618
9071,346087
8973,6152
8973,3419
8973,6506
8973,156174
8973,173162
8973,177912
8973,351855
15730,258533
15730,264386
47608,6270
47608,1252
47608,2803
47608,3616
47608,4232
47608,7312
47608,10049
47608,11857
47608,18425
47608,41329
47608,156316
47608,187056
47608,188237
47608,200918
47608,201456
47608,202371
47608,209792
47608,212737
47608,309974
47608,325761
47608,325762
47608,325763
47608,325764
47608,325765
47608,325813
47608,325835
2293,4325
2293,8631
2293,41175
2293,157690
2293,162296
2293,171329
2293,171343
2293,171346
2293,179430
9070,155030
9070,173577
9070,203224
9070,309974
9070,325765
9070,325766
9070,325809
68274,4129
68274,5248
68274,10181
68274,9872
68274,9928
68274,175421
48787,6149
48787,3713
48787,3880
48787,9826
48787,10392
48787,197452
34574,242
34574,3133
1642,387
1642,782
1642,534
1642,4286
1642,2812
1642,2726
1642,2547
1642,3271
1642,6876
1642,10562
1642,10410
1642,12361
1642,18046
1642,156872
1642,167104
1642,196056
1642,196705
1642,202296
1642,218122
1642,224393
1642,234660
1642,244840
1642,255610
1642,258935
1642,339350
1642,339351
1642,339356
1642,339408
11472,1009
11472,970
11472,3725
11472,6038
11472,168386
36196,242
36196,295
36196,2334
36196,3221
36196,11678
36196,186117
36196,187056
36196,207447
36196,215481
36196,259376
36196,281237
36196,286407
36196,319397
36196,325809
36196,325824
11980,290
11980,3648
58372,2754
58372,4325
58372,11322
58372,207317
32646,6305
32646,6898
32646,852
32646,1501
32646,3451
32646,1279
32646,10532
32646,11322
32646,12097
32646,14673
32646,15106
32646,40895
32646,166947
32646,189449
32646,202579
32646,208289
32646,231287
32646,235410
32646,235411
32646,291068
10533,818
10533,1680
10533,3725
10533,2871
10533,10223
10533,15060
10533,34094
10533,207941
56088,242921
56088,282633
56088,283297
56088,301039
10802,246
10802,1663
10802,4378
10802,2874
10802,2803
10802,3182
10802,7017
10802,3688
10802,9823
10802,14570
10802,244530
10802,246220
10802,266753
10802,293649
10802,311315
10802,314019
10802,315323
10802,316241
10802,324886
10802,325761
10802,325780
10802,325834
10802,325835
10149,919
10149,1621
10149,3170
10149,8736
10149,13028
18402,2673
18402,9672
18402,18035
18402,235152
9348,6017
9348,1475
9348,2340
9348,1718
9348,4375
9348,6245
9348,9951
9348,9016
9348,11181
9348,10562
9348,11190
9348,12670
9348,13031
9348,14760
9348,41404
9348,163481
9348,163561
9348,212760
9348,235513
9348,325765
139408,1946
139408,11004
139408,10590
281,613
281,2964
281,445
281,549
281,796
281,1566
281,570
281,6149
281,4563
281,2340
281,1595
281,3088
281,4562
281,4565
281,4566
281,8440
281,9826
281,12190
281,12670
281,15009
281,155790
281,162845
281,178657
281,187056
5967,3296
5967,3344
5967,4299
5967,4344
5967,9457
5967,41277
5967,208611
5967,208992
5967,211659
5967,291823
5967,325804
47939,1480
47939,3264
47939,13017
47939,15162
47939,187056
36834,90
36834,1310
36834,5933
36834,5565
36834,10181
36834,158718
36834,187056
36834,207928
36834,258533
9090,242
9090,108
9090,1013
9090,824
9090,7312
9090,9935
9090,171636
9090,187056
9090,256330
9090,325765
9090,325784
9090,325856
3512,2314
3512,3366
3512,3376
3512,11219
3512,13008
3512,13015
3512,218122
3512,219404
3512,269233
52856,187056
77350,15479
9560,3725
9560,1956
9560,5334
9560,9673
9560,9714
9560,190061
9560,191795
9560,229895
9560,325761
9560,325762
9560,325772
9560,325781
9560,325814
9804,544
9804,311
9804,331
9804,270
9804,1852
9804,4418
9804,12988
9804,166964
9804,175994
9804,186713
9804,204402
9804,214386
9804,215299
9804,217083
9804,227147
9804,232580
9804,233300
9804,300722
9804,344499
9804,351133
31611,4565
31611,11504
31611,200918
31611,245157
31611,269808
31611,325771
65796,2490
65796,1632
65796,5565
65796,8099
65796,180234
65796,190970
26258,1964
26258,10325
26258,5739
26258,169995
50797,1157
50797,10786
19155,212
19155,345
19155,1262
19155,1946
19155,4747
19155,6805
19155,182045
19155,206119
19155,361670
76,814
76,815
76,816
76,1201
76,18267
76,165402
76,259376
76,325783
11017,5683
11017,10873
11017,187056
11017,187282
37141,567
37141,1523
37141,2604
37141,159947
9382,6054
9382,10685
9382,740
9382,1013
9382,1849
9382,1253
9382,1926
9382,5248
9382,7312
9382,9713
9382,11925
9382,230574
9382,233361
9382,264386
9382,267488
6715,740
6715,787
6715,1360
6715,3230
6715,9766
6715,169725
18256,516
18256,1299
18256,3358
18256,3098
18256,11534
18256,10911
18256,13063
18256,14895
18256,34079
18256,155817
18256,164092
18256,178649
18256,208018
18256,213833
18256,253411
18256,285961
18256,287274
22625,3616
22625,3691
22625,4690
22625,160246
22625,208611
2292,1361
2292,3640
2292,586
2292,3090
2292,3230
2292,7151
2292,12999
2292,34053
2292,179430
2292,197702
2292,210605
2292,312038
2292,325857
1909,5906
1909,9673
1909,11857
1909,14781
1909,15106
1909,180077
8984,818
8984,2350
8984,6021
8984,6282
8984,10850
8984,34038
8984,207767
8984,237481
61813,10629
61813,14742
4954,1196
4954,521
4954,416
4954,2006
4954,4613
4954,4811
4954,11207
4954,10614
4954,10184
4954,10287
4954,41409
4954,156208
4954,159743
4954,169271
4954,170212
4954,186281
4954,191047
4954,241869
4954,252204
4954,275061
4954,275130
4954,286507
4954,303917
4954,305466
4954,315792
4954,315793
4954,315794
4954,315795
62488,10051
62488,160945
10531,2587
10531,10181
10531,6460
10531,9137
10531,9748
10531,13005
10531,13006
10531,33740
11929,894
11929,516
11929,2041
11929,818
11929,703
11929,2619
11929,2299
11929,4232
11929,10041
11929,7335
11929,7464
11929,9826
11929,9927
11929,11925
11929,12193
11929,13097
11929,18047
11929,161545
11929,162810
11929,200918
11929,207819
11929,212643
11929,212644
11929,212646
11929,325766
11929,325775
8467,1420
8467,5303
8467,2669
8467,6241
8467,11333
8467,7312
8467,8126
8467,9864
8467,15009
8467,15214
8467,18326
8467,159574
8467,160962
8467,167584
8467,167591
8467,167598
8467,167608
8467,167617
8467,167619
8467,215404
10451,5600
10451,1918
10451,2875
10451,4995
10451,9322
10451,10508
10451,10637
10451,12428
10451,13043
10451,18035
10451,18293
10451,33476
10451,188610
10451,240303
10451,241738
10451,279490
10451,280940
10451,296852
20156,1664
20156,4378
20156,2334
20156,2589
20156,2754
20156,3688
20156,156455
20156,314019
20156,316421
18395,2041
18395,818
18395,6212
18395,738
18395,9840
18395,9673
18395,11869
18395,155271
18395,158713
18395,273392
522,30
522,444
522,663
522,571
522,640
522,886
522,1803
522,2792
522,2794
522,6562
522,10338
522,12670
522,12999
522,14632
522,162687
522,173594
522,180193
522,208611
397,6054
397,822
397,548
397,90
397,6212
397,930
397,4544
397,2599
397,5334
397,5011
397,2687
397,14602
397,250135
10525,90
10525,6711
10525,5720
10525,6496
10525,13072
10525,171826
10525,177216
