movie_id,person_id,cast_order
10534,153862,6
17414,2942040,0
17414,1206,1
17414,6450,2
17414,4757,3
17414,171373,4
17414,5129,5
17414,13243,6
13997,58198,0
13997,60950,1
13997,21561,2
13997,2048,3
13997,26999,4
13997,14888,5
13997,20196,6
2086,85,0
2086,21365,1
2086,17764,2
2086,4690,3
2086,21366,4
2086,21368,5
2086,21369,6
61548,12261,0
61548,9030,1
61548,16476,2
61548,8975,3
61548,11867,4
61548,233294,5
9095,1204,0
9095,6949,1
9095,47722,2
9095,5658,3
9095,515,4
9095,1229735,5
9095,3968,6
12158,9780,0
12158,776,1
12158,32486,2
12158,66554,3
12158,56902,4
12158,47458,5
12158,593,6
9283,16327,0
9283,2876,1
9283,11315,2
9283,49425,3
9283,34485,4
9283,139,5
9283,23931,6
9208,8891,0
9208,2224,1
9208,20767,2
9208,18792,3
9208,11805,4
9208,4029,5
9208,126418,6
40154,17483,0
40154,29859,1
40154,13637,2
40154,32357,3
40154,53328,4
40154,9139,5
40154,26860,6
406,1925,0
406,5418,1
406,5419,2
406,5420,3
406,5422,4
406,5423,5
406,5424,6
45549,41381,0
45549,9642,1
45549,28848,2
45549,30087,3
45549,48,4
45549,19995,5
45549,378,6
63076,92032,1
63076,1144665,2
63076,74954,4
63076,42545,5
63076,550826,6
63076,2556671,7
63076,2556679,8
11062,1158,0
11062,3036,1
11062,2233,2
11062,1004,3
11062,2641,4
11062,19839,5
11062,106179,6
13685,36422,0
13685,887,1
13685,52797,2
13685,74940,3
13685,3085,4
13685,71555,5
13685,2674324,6
47475,14,0
47475,8984,1
47475,3234,2
47475,923,3
47475,23709,4
47475,77331,5
47475,128621,6
2045,11477,0
2045,9625,1
2045,9979,2
2045,4443,3
2045,19839,4
2045,14595,5
2045,8335,6
9614,19292,0
9614,4443,1
9614,31171,2
9614,11794,3
9614,1101,4
9614,20818,5
9614,53684,6
688,5064,0
688,190,1
688,6907,2
688,10379,3
688,10380,4
688,10381,5
688,10382,6
11907,22686,0
11907,70887,1
11907,70888,2
11907,9931,3
11907,1084,4
11907,34297,5
11907,24110,6
10874,13472,0
10874,9188,1
10874,12094,2
10874,19996,3
10874,64181,4
10874,64180,5
10874,68455,6
89333,937034,0
89333,937035,1
89333,103057,2
89333,50841,3
89333,3664,4
89333,937036,5
89333,937037,6
96357,10361,0
96357,1112607,1
96357,36197,2
96357,4944,3
96357,56930,4
96357,10691,6
96357,1916,7
197,2461,0
197,2462,1
197,1957,2
197,2463,3
197,2464,4
197,2039,5
197,2465,6
103,380,0
103,1038,1
103,1036,2
103,1037,3
103,1039,4
103,1040,5
103,13,6
33542,18897,0
33542,44917,1
33542,10875,2
33542,44922,3
33542,21264,5
33542,44921,6
33542,1277939,7
43566,5064,0
43566,3896,1
43566,820,2
43566,121955,3
43566,658,4
43566,1473,5
43566,11512,6
71754,1283,0
71754,19901,1
71754,198287,2
71754,18794,3
71754,6074,4
71754,563767,5
71754,96675,6
43612,12270,0
43612,30641,1
43612,20851,2
43612,2744,3
43612,77929,4
43612,35911,5
43612,342254,6
51352,11181,0
51352,515,1
51352,1526760,3
16934,5312,0
16934,77637,1
16934,53367,2
16934,81024,3
16934,10729,4
16934,46427,5
16934,7321,6
10324,520,0
10324,68185,1
10324,7399,2
10324,5590,3
10324,8986,4
10324,31512,5
10324,1245,6
78406,1271,0
78406,1903,1
78406,10768,2
78406,532,3
78406,18316,4
78406,28010,5
78406,34597,6
55731,4587,0
55731,1893,1
55731,13446,2
55731,18324,3
55731,17770,4
55731,171522,5
55731,239979,6
32119,15319,0
32119,198643,1
32119,1195879,2
32119,946161,3
32119,1828572,4
32119,1288291,5
32119,1474736,6
11066,776,0
11066,59153,1
